Report Code,Data Type,URL Pattern,Index Page,Dataset Folder,Filename,Format,Update Frequency,Notes,Availability
P-31,Balancing Market Advisory Summary,http://mis.nyiso.com/public/csv/advisory/{YYYYMMDD}advisory.csv,http://mis.nyiso.com/public/P-31list.htm,advisory,advisory,"CSV, HTML",Real-time (as issued),Posted when market advisories are issued; not daily files,Index page shows recent advisories; may not follow standard YYYYMMDD pattern
P-33,Real-Time Limiting Constraints,http://mis.nyiso.com/public/csv/rtconstraints/{YYYYMMDD}rtconstraints.csv,http://mis.nyiso.com/public/P-33list.htm,rtconstraints,rtconstraints,"CSV, HTML",5-minute intervals,Contains binding transmission constraints with shadow prices,Recent days via direct CSV; archives available
P-511A,Day-Ahead Limiting Constraints,http://mis.nyiso.com/public/csv/damconstraints/{YYYYMMDD}damconstraints.csv,http://mis.nyiso.com/public/P-511Alist.htm,damconstraints,damconstraints,"CSV, HTML",Daily (after DAM clearing),Day-ahead market binding constraints,Posted after 11:00 AM ET daily
P-42,RTC vs External RTO CTS Prices,http://mis.nyiso.com/public/csv/rtexternalprices/{YYYYMMDD}rtexternalprices.csv,http://mis.nyiso.com/public/P-42list.htm,rtexternalprices,rtexternalprices,"CSV, HTML",Real-time (5-minute intervals),External ISO prices for coordinated transaction scheduling,"Real-time data for neighboring ISOs (IESO, PJM, ISO-NE)"
P-8,Available Transfer Capability / Total Transfer Capability,http://mis.nyiso.com/public/csv/atc/{YYYYMMDD}atc.csv,http://mis.nyiso.com/public/P-8list.htm,atc,atc,"CSV, HTML, PDF",Hourly (updated 30 min before hour for next 3 hours),Short-term ATC/TTC for current day and next day,Updated throughout the day
P-8A,Long Term ATC/TTC,http://mis.nyiso.com/public/csv/ltatc/{YYYYMMDD}ltatc.csv,http://mis.nyiso.com/public/P-8Alist.htm,ltatc,ltatc,"CSV, HTML, PDF",Daily,Long-term (up to 2 years) ATC/TTC forecasts,Daily updates for future periods
P-54A,Real-Time Scheduled Outages,http://mis.nyiso.com/public/csv/rtscheduledoutages/{YYYYMMDD}rtscheduledoutages.csv,http://mis.nyiso.com/public/P-54Alist.htm,rtscheduledoutages,rtscheduledoutages,"CSV, HTML",Real-time,Scheduled generator and transmission outages,Updated as outage schedules change
P-54B,Real-Time Actual Outages,http://mis.nyiso.com/public/csv/rtactualoutages/{YYYYMMDD}rtactualoutages.csv,http://mis.nyiso.com/public/P-54Blist.htm,rtactualoutages,rtactualoutages,"CSV, HTML",Real-time,Actual unplanned/forced outages,Updated as outages occur
P-54C,Day-Ahead Scheduled Outages,http://mis.nyiso.com/public/csv/dascheduledoutages/{YYYYMMDD}dascheduledoutages.csv,http://mis.nyiso.com/public/P-54Clist.htm,dascheduledoutages,dascheduledoutages,"CSV, HTML",Daily,Scheduled outages for day-ahead market,Daily updates
P-14B,Outage Schedules (Comprehensive),http://mis.nyiso.com/public/csv/outageschedules/{YYYYMMDD}outageschedules.csv,http://mis.nyiso.com/public/P-14Blist.htm,outageschedules,outageschedules,CSV,Daily,Comprehensive outage schedule in CSV format,Daily summaries
P-15,Generation Maintenance Report,http://mis.nyiso.com/public/csv/genmaint/{YYYYMMDD}genmaint.csv,http://mis.nyiso.com/public/P-15list.htm,genmaint,genmaint,"CSV, HTML",Daily,Generator maintenance schedule and status,Daily updates
P-7A,Weather Forecast,http://mis.nyiso.com/public/csv/weatherforecast/{YYYYMMDD}weatherforecast.csv,http://mis.nyiso.com/public/P-7Alist.htm,weatherforecast,weatherforecast,CSV,Multiple times daily,"Weather forecast data used for load forecasting (temp, humidity, etc.)",Updated several times per day
P-63,Real-Time Fuel Mix,http://mis.nyiso.com/public/csv/rtfuelmix/{YYYYMMDD}rtfuelmix.csv,http://mis.nyiso.com/public/P-63list.htm,rtfuelmix,rtfuelmix,CSV,5-minute intervals,"Real-time generation by fuel type (gas, nuclear, hydro, wind, solar, other)",âœ… CONFIRMED - Found in search results (P-63 Index)
