Data Type,Report Code,Dataset Name,Filename Pattern,Direct CSV URL,Archive ZIP URL,Example (Today),Python Variable
Real-Time Zonal LBMP (5-min),P-24A,realtime,{YYYYMMDD}realtime_zone.csv,http://mis.nyiso.com/public/csv/realtime/{YYYYMMDD}realtime_zone.csv,http://mis.nyiso.com/public/csv/realtime/{YYYYMM01}realtime_zone_csv.zip,http://mis.nyiso.com/public/csv/realtime/20251113realtime_zone.csv,"dataset_name = ""realtime"", filename = ""realtime_zone"""
Day-Ahead Zonal LBMP,P-2A,damlbmp,{YYYYMMDD}damlbmp_zone.csv,http://mis.nyiso.com/public/csv/damlbmp/{YYYYMMDD}damlbmp_zone.csv,http://mis.nyiso.com/public/csv/damlbmp/{YYYYMM01}damlbmp_zone_csv.zip,http://mis.nyiso.com/public/csv/damlbmp/20251113damlbmp_zone.csv,"dataset_name = ""damlbmp"", filename = ""damlbmp_zone"""
Real-Time Actual Load (5-min),P-58B,pal,{YYYYMMDD}pal.csv,http://mis.nyiso.com/public/csv/pal/{YYYYMMDD}pal.csv,http://mis.nyiso.com/public/csv/pal/{YYYYMM01}pal_csv.zip,http://mis.nyiso.com/public/csv/pal/20251113pal.csv,"dataset_name = ""pal"", filename = ""pal"""
ISO Load Forecast (7-day),P-7,isolf,{YYYYMMDD}isolf.csv,http://mis.nyiso.com/public/csv/isolf/{YYYYMMDD}isolf.csv,http://mis.nyiso.com/public/csv/isolf/{YYYYMM01}isolf_csv.zip,http://mis.nyiso.com/public/csv/isolf/20251113isolf.csv,"dataset_name = ""isolf"", filename = ""isolf"""
Interface Limits & Flows,P-32,ExternalLimitsFlows,{YYYYMMDD}ExternalLimitsFlows.csv,http://mis.nyiso.com/public/csv/ExternalLimitsFlows/{YYYYMMDD}ExternalLimitsFlows.csv,http://mis.nyiso.com/public/csv/ExternalLimitsFlows/{YYYYMM01}ExternalLimitsFlows_csv.zip,http://mis.nyiso.com/public/csv/ExternalLimitsFlows/20251113ExternalLimitsFlows.csv,"dataset_name = ""ExternalLimitsFlows"", filename = ""ExternalLimitsFlows"""
Interface Limits & Flows (Current),P-32-CURRENT,ExternalLimitsFlows,currentExternalLimitsFlows.csv,http://mis.nyiso.com/public/csv/ExternalLimitsFlows/currentExternalLimitsFlows.csv,http://mis.nyiso.com/public/csv/ExternalLimitsFlows/{YYYYMM01}ExternalLimitsFlows_csv.zip,http://mis.nyiso.com/public/csv/ExternalLimitsFlows/currentExternalLimitsFlows.csv,"dataset_name = ""ExternalLimitsFlows"", filename = ""currentExternalLimitsFlows"""
Time-Weighted RT LBMP,P-4A,rtlbmp,{YYYYMMDD}rtlbmp_zone.csv,http://mis.nyiso.com/public/csv/rtlbmp/{YYYYMMDD}rtlbmp_zone.csv,http://mis.nyiso.com/public/csv/rtlbmp/{YYYYMM01}rtlbmp_zone_csv.zip,http://mis.nyiso.com/public/csv/rtlbmp/20251113rtlbmp_zone.csv,"dataset_name = ""rtlbmp"", filename = ""rtlbmp_zone"""
Real-Time Ancillary Services,P-6B,rtasp,{YYYYMMDD}rtasp.csv,http://mis.nyiso.com/public/csv/rtasp/{YYYYMMDD}rtasp.csv,http://mis.nyiso.com/public/csv/rtasp/{YYYYMM01}rtasp_csv.zip,http://mis.nyiso.com/public/csv/rtasp/20251113rtasp.csv,"dataset_name = ""rtasp"", filename = ""rtasp"""
Day-Ahead Ancillary Services,P-5,damasp,{YYYYMMDD}damasp.csv,http://mis.nyiso.com/public/csv/damasp/{YYYYMMDD}damasp.csv,http://mis.nyiso.com/public/csv/damasp/{YYYYMM01}damasp_csv.zip,http://mis.nyiso.com/public/csv/damasp/20251113damasp.csv,"dataset_name = ""damasp"", filename = ""damasp"""
Balancing Market Advisory Summary,P-31,hamenergy,{YYYYMMDD}HAM_energy_rep.csv,http://mis.nyiso.com/public/csv/hamenergy/{YYYYMMDD}HAM_energy_rep.csv,http://mis.nyiso.com/public/csv/hamenergy/{YYYYMM01}HAM_energy_rep_csv.zip,http://mis.nyiso.com/public/csv/hamenergy/20251113HAM_energy_rep.csv,"dataset_name = ""hamenergy"", filename = ""HAM_energy_rep"""
Real-Time Limiting Constraints,P-33,LimitingConstraints,{YYYYMMDD}LimitingConstraints.csv,http://mis.nyiso.com/public/csv/LimitingConstraints/{YYYYMMDD}LimitingConstraints.csv,http://mis.nyiso.com/public/csv/LimitingConstraints/{YYYYMM01}LimitingConstraints_csv.zip,http://mis.nyiso.com/public/csv/LimitingConstraints/20251113LimitingConstraints.csv,"dataset_name = ""LimitingConstraints"", filename = ""LimitingConstraints"""
Day-Ahead Limiting Constraints,P-511A,DAMLimitingConstraints,{YYYYMMDD}DAMLimitingConstraints.csv,http://mis.nyiso.com/public/csv/DAMLimitingConstraints/{YYYYMMDD}DAMLimitingConstraints.csv,http://mis.nyiso.com/public/csv/DAMLimitingConstraints/{YYYYMM01}DAMLimitingConstraints_csv.zip,http://mis.nyiso.com/public/csv/DAMLimitingConstraints/20251113DAMLimitingConstraints.csv,"dataset_name = ""DAMLimitingConstraints"", filename = ""DAMLimitingConstraints"""
RTC vs External RTO CTS Prices,P-42,extrtoctsprice,{YYYYMMDD}ext_rto_cts_price.csv,http://mis.nyiso.com/public/csv/extrtoctsprice/{YYYYMMDD}ext_rto_cts_price.csv,http://mis.nyiso.com/public/csv/extrtoctsprice/{YYYYMM01}ext_rto_cts_price_csv.zip,http://mis.nyiso.com/public/csv/extrtoctsprice/20251113ext_rto_cts_price.csv,"dataset_name = ""extrtoctsprice"", filename = ""ext_rto_cts_price"""
Available Transfer Capability / Total Transfer Capability,P-8,atc_ttc,{YYYYMMDD}atc_ttc.csv,http://mis.nyiso.com/public/csv/atc_ttc/{YYYYMMDD}atc_ttc.csv,http://mis.nyiso.com/public/csv/atc_ttc/{YYYYMM01}atc_ttc_csv.zip,http://mis.nyiso.com/public/csv/atc_ttc/20251113atc_ttc.csv,"dataset_name = ""atc_ttc"", filename = ""atc_ttc"""
Long Term ATC/TTC,P-8A,preSchedAtcTtc,{YYYYMMDD}presched_atc_ttc.csv,http://mis.nyiso.com/public/csv/preSchedAtcTtc/{YYYYMMDD}presched_atc_ttc.csv,http://mis.nyiso.com/public/csv/preSchedAtcTtc/{YYYYMM01}presched_atc_ttc_csv.zip,http://mis.nyiso.com/public/csv/preSchedAtcTtc/20251113presched_atc_ttc.csv,"dataset_name = ""preSchedAtcTtc"", filename = ""presched_atc_ttc"""
